GET https://xtmijd.com/assets/MissingReportPanel-C1a-jTu2.js → 200 (66ms, 2847B)
GET https://xtmijd.com/assets/missingReportRows-LKoeCFkN.js → 200 (?ms, 4082B)
GET https://xtmijd.com/assets/display-DKKrQ2kI.js → 200 (?ms, 4746B)
GET https://xtmijd.com/assets/MissingReportPanel-CO0V6Tuh.css → 200 (65ms, 5047B)
GET https://xtmijd.com/assets/useHudChartTheme-De0R7E1F.js → 200 (89ms, 529B)
GET https://xtmijd.com/assets/echarts-hud-D4ZePZfi.js → 200 (1ms, 1328B)
GET https://xtmijd.com/assets/stitchManageSurface-DScKiJzj.js → 200 (?ms, 24511B)
GET https://xtmijd.com/assets/TodayPage-DLnRJOU_.css → 200 (81ms, 36737B)
GET https://xtmijd.com/api/v1/dashboard/factory-director?target_date=2026-06-16 → 200 (10617ms, 269598B)
GET https://xtmijd.com/api/v1/dashboard/daily-production?target_date=2026-06-16 → 200 (5286ms, 6178B)
GET https://xtmijd.com/api/v1/factory-command/overview?target_date=2026-06-16 → 200 (6254ms, 1852B)
GET https://xtmijd.com/api/v1/dashboard/timeseries?target_date=2026-06-16&days=14 → 200 (7274ms, 793B)
GET https://xtmijd.com/api/v1/users/?limit=300 → 200 (2009ms, 39012B)
GET https://xtmijd.com/api/v1/aggregation/live?business_date=2026-06-16 → 200 (7310ms, 92763B)
GET https://xtmijd.com/manage/production → 200 (3ms, 1175B)
GET https://xtmijd.com/assets/index-CdWOVxH-.js → 200 (?ms, 43310B)
GET https://xtmijd.com/assets/rolldown-runtime-S-ySWqyJ.js → 200 (?ms, 694B)
GET https://xtmijd.com/assets/vendor-wc7BmRed.js → 200 (?ms, 487996B)
GET https://xtmijd.com/assets/vendor-form-ahU4H2O-.js → 200 (?ms, 16537B)
GET https://xtmijd.com/assets/vendor-dayjs-B4p_5sCw.js → 200 (?ms, 16291B)
GET https://xtmijd.com/assets/vendor-ui-De2Q8m8R.js → 200 (?ms, 382525B)
GET https://xtmijd.com/assets/vendor-vue-BO9-Bp0g.js → 200 (?ms, 30721B)
GET https://xtmijd.com/assets/vendor-axios-DCteP740.js → 200 (?ms, 41095B)
GET https://xtmijd.com/assets/auth-9jcO7Tvr.js → 200 (?ms, 7325B)
GET https://xtmijd.com/assets/vendor-ui-C-nkr9qM.css → 200 (?ms, 173411B)
GET https://xtmijd.com/assets/index-BGQDHNcc.css → 200 (?ms, 33539B)
GET https://xtmijd.com/api/v1/user/preferences → 200 (396ms, 14B)
GET https://xtmijd.com/assets/ManageShell-CDaSPArB.js → 200 (6ms, 19050B)
GET https://xtmijd.com/assets/AiWatchlistPanel-DQJwPN3z.js → 200 (?ms, 19604B)
GET https://xtmijd.com/assets/AiWatchlistPanel-CIwvS96_.css → 200 (?ms, 5623B)
GET https://xtmijd.com/assets/xt-DOFvG6Er.js → 200 (?ms, 11206B)
GET https://xtmijd.com/assets/XtEmpty-iwOwa1ti.js → 200 (?ms, 560B)
GET https://xtmijd.com/assets/XtEmpty-Csv6QXmp.css → 200 (?ms, 688B)
GET https://xtmijd.com/assets/XtSkeleton-BR3AQkDT.js → 200 (?ms, 882B)
GET https://xtmijd.com/assets/XtSkeleton-BDji5_MU.css → 200 (?ms, 669B)
GET https://xtmijd.com/assets/xt-D5NlJp_t.css → 200 (?ms, 12179B)
GET https://xtmijd.com/assets/ManageShell-RwPMXyPn.css → 200 (?ms, 29828B)
GET https://xtmijd.com/assets/ProductionPage-Cb_vZOIZ.js → 200 (40ms, 9314B)
GET https://xtmijd.com/assets/DateSwitcher-HmChsbP8.js → 200 (?ms, 4247B)
GET https://xtmijd.com/assets/shiftClock-CIiH43GB.js → 200 (?ms, 1484B)
GET https://xtmijd.com/assets/DateSwitcher-Cg1-Pfz8.css → 200 (?ms, 6675B)
GET https://xtmijd.com/assets/useDashboardSnapshot-BBLOccgG.js → 200 (?ms, 8009B)
